steps,lag,viscosity,start_time,K,S,se,max_position_change_from_previous,N
64,1,0.01,0,4,7.287368800892207,0.0002995007811231669,0.0,4096
128,1,0.01,0,4,7.287368809044646,0.00029950124457585596,1.046972288336166e-05,4096
256,1,0.01,0,4,7.287368809552451,0.0002995012733207373,6.718140190549079e-07,4096
