h,estimate,se,exact_limit,sampled_limit,N
0.002,276400.19874092867,1788.1463733744051,575595.3286715313,581237.725543925,4096
0.001,435007.7989020896,3389.9793693618694,575595.3286715313,581237.725543925,4096
0.0005,532020.5816045279,4546.671665530684,575595.3286715313,581237.725543925,4096
0.0002,572428.7967940681,5069.442237272442,575595.3286715313,581237.725543925,4096
0.0001,578986.0340725123,5156.584510297299,575595.3286715313,581237.725543925,4096
5e-05,580666.4876671105,5179.001876846325,575595.3286715313,581237.725543925,4096
2e-05,581143.3908732487,5185.357385317928,575595.3286715313,581237.725543925,4096
