n,h,K,S,vorticity_sup,deformation_L2_squared,deformation_exact
1,0.2,4,6.798595086104037,6.283185307179586,0.7895683520871486,0.7895683520871488
3,0.2,4,6.798595086104038,18.84955592153876,7.106115168784338,7.106115168784339
9,0.2,4,6.798595086104038,56.548667764616276,63.955036519059036,63.95503651905905
27,0.2,4,6.798595086104038,169.64600329384882,575.5953286715313,575.5953286715314
81,0.2,4,6.798595086104038,508.93800988154646,5180.357958043783,5180.357958043783
