K,m,S,S_over_K2,bound_over_K2,S_over_log_m,normalized
1,26,2.4182580472126323,2.4182580472126323,4.653960350157523,0.7422303234394485,0.3316884667723225
2,124,4.843346908044408,1.210836727011102,1.5521475065241572,1.0047850612304379,0.7007526298380795
4,728,7.378252597108272,0.461140787319267,0.49855867230996465,1.1195622996808612,1.1623735921667768
8,4912,9.147878818198743,0.14293560653435536,0.1544653394596437,1.0762923931102653,1.0689623149274623
16,35936,11.16775455024363,0.04362404121188918,0.04638982881033583,1.0646608537319637,1.088702595632517
32,274624,13.216951807825287,0.012907179499829382,0.013583450624810799,1.0554008525762664,1.099042094450084
64,2146688,15.280896552654665,0.0037306876349254554,0.0038978835998119137,1.0481129564580518,1.1041615547870252
128,16974592,17.35003189346572,0.0010589619075601635,0.0011006788678968426,1.0422174604340464,1.1050602970262464
